datetime,portfolio_value,cash,return
2020-12-30 09:30:00-05:00,100000.0,100000.0,
2020-12-30 09:35:00-05:00,100000.0,100000.0,0.0
2020-12-30 09:40:00-05:00,100000.0,100000.0,0.0
2020-12-30 09:45:00-05:00,100000.0,100000.0,0.0
2020-12-30 09:50:00-05:00,100000.0,100000.0,0.0
2020-12-30 09:55:00-05:00,100000.0,100000.0,0.0
2020-12-30 10:00:00-05:00,100000.0,100000.0,0.0
2020-12-30 10:05:00-05:00,100000.0,100000.0,0.0
2020-12-30 10:10:00-05:00,100000.0,100000.0,0.0
2020-12-30 10:15:00-05:00,100000.0,100000.0,0.0
2020-12-30 10:20:00-05:00,100000.0,100000.0,0.0
2020-12-30 10:25:00-05:00,100000.0,100000.0,0.0
2020-12-30 10:30:00-05:00,100000.0,100000.0,0.0
2020-12-30 10:35:00-05:00,100000.0,100000.0,0.0
2020-12-30 10:40:00-05:00,100000.0,100000.0,0.0
2020-12-30 10:45:00-05:00,100000.0,100000.0,0.0
2020-12-30 10:50:00-05:00,100000.0,100000.0,0.0
2020-12-30 10:55:00-05:00,100000.0,100000.0,0.0
2020-12-30 11:00:00-05:00,100000.0,100000.0,0.0
2020-12-30 11:05:00-05:00,100000.0,100000.0,0.0
2020-12-30 11:10:00-05:00,100000.0,100000.0,0.0
2020-12-30 11:15:00-05:00,100000.0,100000.0,0.0
2020-12-30 11:20:00-05:00,100000.0,100000.0,0.0
2020-12-30 11:25:00-05:00,100000.0,100000.0,0.0
2020-12-30 11:30:00-05:00,100000.0,100000.0,0.0
2020-12-30 11:35:00-05:00,100000.0,100000.0,0.0
2020-12-30 11:40:00-05:00,100000.0,100000.0,0.0
2020-12-30 11:45:00-05:00,100000.0,100000.0,0.0
2020-12-30 11:50:00-05:00,100000.0,100000.0,0.0
2020-12-30 11:55:00-05:00,100000.0,100000.0,0.0
2020-12-30 12:00:00-05:00,100000.0,100000.0,0.0
2020-12-30 12:05:00-05:00,100000.0,100000.0,0.0
2020-12-30 12:10:00-05:00,100000.0,100000.0,0.0
2020-12-30 12:15:00-05:00,100000.0,100000.0,0.0
2020-12-30 12:20:00-05:00,100000.0,100000.0,0.0
