time,strategy,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2021-01-28 09:30:00-05:00,MLTrader,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2021-01-28 09:30:00-05:00,MLTrader,AAPL,buy,market,fill,1,gtc,0.0,1,stock,139.52000427246094,537,0.0
2021-01-28 10:30:00-05:00,MLTrader,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2021-01-28 10:30:00-05:00,MLTrader,AAPL,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-01-28 10:30:00-05:00,MLTrader,AAPL,sell,stop,fill,1,day,0.0,1,stock,138.12480422973633,537,0.0
2021-01-28 10:30:00-05:00,MLTrader,AAPL,buy,market,fill,1,gtc,0.0,1,stock,139.52000427246094,134,0.0
2021-01-28 11:30:00-05:00,MLTrader,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2021-01-28 11:30:00-05:00,MLTrader,AAPL,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-01-28 11:30:00-05:00,MLTrader,AAPL,sell,limit,fill,1,day,0.0,1,stock,140.91520431518555,134,0.0
2021-01-28 11:30:00-05:00,MLTrader,AAPL,buy,market,fill,1,gtc,0.0,1,stock,139.52000427246094,433,0.0
2021-01-28 12:30:00-05:00,MLTrader,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2021-01-28 12:30:00-05:00,MLTrader,AAPL,buy,market,fill,1,gtc,0.0,1,stock,139.52000427246094,209,0.0
2021-01-28 12:30:00-05:00,MLTrader,AAPL,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-01-28 12:30:00-05:00,MLTrader,AAPL,sell,stop,fill,1,day,0.0,1,stock,138.12480422973633,433,0.0
2021-01-28 13:30:00-05:00,MLTrader,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2021-01-28 13:30:00-05:00,MLTrader,AAPL,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-01-28 13:30:00-05:00,MLTrader,AAPL,sell,stop,fill,1,day,0.0,1,stock,138.12480422973633,209,0.0
