time,strategy,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2021-01-28 09:30:00-05:00,MLTrader,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2021-01-28 09:30:00-05:00,MLTrader,AAPL,buy,market,fill,1,gtc,0.0,1,stock,139.52000427246094,179,0.0
2021-01-28 10:30:00-05:00,MLTrader,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2021-01-28 10:30:00-05:00,MLTrader,AAPL,buy,market,fill,1,gtc,0.0,1,stock,139.52000427246094,134,0.0
2021-01-28 10:30:00-05:00,MLTrader,AAPL,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-01-28 10:30:00-05:00,MLTrader,AAPL,sell,limit,fill,1,day,0.0,1,stock,140.91520431518555,179,0.0
2021-01-28 11:30:00-05:00,MLTrader,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2021-01-28 11:30:00-05:00,MLTrader,AAPL,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-01-28 11:30:00-05:00,MLTrader,AAPL,sell,stop,fill,1,day,0.0,1,stock,138.12480422973633,134,0.0
2021-01-28 11:30:00-05:00,MLTrader,AAPL,buy,market,fill,1,gtc,0.0,1,stock,139.52000427246094,146,0.0
2021-01-28 12:30:00-05:00,MLTrader,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2021-01-28 12:30:00-05:00,MLTrader,AAPL,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-01-28 12:30:00-05:00,MLTrader,AAPL,sell,limit,fill,1,day,0.0,1,stock,140.91520431518555,146,0.0
2021-01-28 12:30:00-05:00,MLTrader,AAPL,buy,market,fill,1,gtc,0.0,1,stock,139.52000427246094,142,0.0
2021-01-28 13:30:00-05:00,MLTrader,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2021-01-28 13:30:00-05:00,MLTrader,AAPL,buy,market,fill,1,gtc,0.0,1,stock,139.52000427246094,144,0.0
2021-01-28 13:30:00-05:00,MLTrader,AAPL,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-01-28 13:30:00-05:00,MLTrader,AAPL,sell,stop,fill,1,day,0.0,1,stock,138.12480422973633,142,0.0
2021-01-28 14:30:00-05:00,MLTrader,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2021-01-28 14:30:00-05:00,MLTrader,AAPL,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-01-28 14:30:00-05:00,MLTrader,AAPL,sell,stop,fill,1,day,0.0,1,stock,138.12480422973633,144,0.0
2021-01-28 14:30:00-05:00,MLTrader,AAPL,buy,market,fill,1,gtc,0.0,1,stock,139.52000427246094,143,0.0
2021-01-28 15:30:00-05:00,MLTrader,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2021-01-28 15:30:00-05:00,MLTrader,AAPL,buy,market,fill,1,gtc,0.0,1,stock,139.52000427246094,143,0.0
2021-01-28 15:30:00-05:00,MLTrader,AAPL,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-01-28 15:30:00-05:00,MLTrader,AAPL,sell,limit,fill,1,day,0.0,1,stock,140.91520431518555,143,0.0
2021-01-28 16:30:00-05:00,MLTrader,AAPL,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-01-28 16:30:00-05:00,MLTrader,AAPL,sell,stop,fill,1,day,0.0,1,stock,138.12480422973633,143,0.0
2021-03-18 09:30:00-04:00,MLTrader,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2021-03-18 09:30:00-04:00,MLTrader,AAPL,sell,market,fill,1,gtc,0.0,1,stock,119.9000015258789,208,0.0
2021-03-18 10:30:00-04:00,MLTrader,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2021-03-18 10:30:00-04:00,MLTrader,AAPL,buy,limit,canceled,1,day,0.0,1,stock,,,
2021-03-18 10:30:00-04:00,MLTrader,AAPL,buy,stop,fill,1,day,0.0,1,stock,121.0990015411377,208,0.0
2021-03-18 10:30:00-04:00,MLTrader,AAPL,sell,market,fill,1,gtc,0.0,1,stock,119.9000015258789,260,0.0
2021-03-18 11:30:00-04:00,MLTrader,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2021-03-18 11:30:00-04:00,MLTrader,AAPL,sell,market,fill,1,gtc,0.0,1,stock,119.9000015258789,272,0.0
2021-03-18 11:30:00-04:00,MLTrader,AAPL,buy,limit,canceled,1,day,0.0,1,stock,,,
2021-03-18 11:30:00-04:00,MLTrader,AAPL,buy,stop,fill,1,day,0.0,1,stock,121.0990015411377,260,0.0
2021-03-18 12:30:00-04:00,MLTrader,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2021-03-18 12:30:00-04:00,MLTrader,AAPL,sell,market,fill,1,gtc,0.0,1,stock,119.9000015258789,275,0.0
2021-03-18 12:30:00-04:00,MLTrader,AAPL,buy,limit,canceled,1,day,0.0,1,stock,,,
2021-03-18 12:30:00-04:00,MLTrader,AAPL,buy,stop,fill,1,day,0.0,1,stock,121.0990015411377,272,0.0
2021-03-18 13:30:00-04:00,MLTrader,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2021-03-18 13:30:00-04:00,MLTrader,AAPL,buy,limit,canceled,1,day,0.0,1,stock,,,
2021-03-18 13:30:00-04:00,MLTrader,AAPL,buy,stop,fill,1,day,0.0,1,stock,121.0990015411377,275,0.0
2021-03-18 13:30:00-04:00,MLTrader,AAPL,sell,market,fill,1,gtc,0.0,1,stock,119.9000015258789,275,0.0
2021-03-18 14:30:00-04:00,MLTrader,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2021-03-18 14:30:00-04:00,MLTrader,AAPL,buy,limit,canceled,1,day,0.0,1,stock,,,
2021-03-18 14:30:00-04:00,MLTrader,AAPL,buy,stop,fill,1,day,0.0,1,stock,121.0990015411377,275,0.0
2021-03-18 14:30:00-04:00,MLTrader,AAPL,sell,market,fill,1,gtc,0.0,1,stock,119.9000015258789,274,0.0
2021-03-18 15:30:00-04:00,MLTrader,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2021-03-18 15:30:00-04:00,MLTrader,AAPL,sell,market,fill,1,gtc,0.0,1,stock,119.9000015258789,273,0.0
2021-03-18 15:30:00-04:00,MLTrader,AAPL,buy,limit,canceled,1,day,0.0,1,stock,,,
2021-03-18 15:30:00-04:00,MLTrader,AAPL,buy,stop,fill,1,day,0.0,1,stock,121.0990015411377,274,0.0
2021-03-18 16:30:00-04:00,MLTrader,AAPL,buy,limit,canceled,1,day,0.0,1,stock,,,
2021-03-18 16:30:00-04:00,MLTrader,AAPL,buy,stop,fill,1,day,0.0,1,stock,121.0990015411377,273,0.0
