datetime,portfolio_value,cash,return
2020-12-30 09:30:00-05:00,100000.0,100000.0,
2020-12-30 21:30:00-05:00,100000.0,100000.0,0.0
2020-12-31 09:30:00-05:00,100000.0,100000.0,0.0
2020-12-31 21:30:00-05:00,100000.0,100000.0,0.0
2021-01-04 09:30:00-05:00,100000.0,100000.0,0.0
2021-01-04 21:30:00-05:00,100000.0,100000.0,0.0
2021-01-05 09:30:00-05:00,100000.0,100000.0,0.0
2021-01-05 21:30:00-05:00,100000.0,100000.0,0.0
2021-01-06 09:30:00-05:00,100000.0,100000.0,0.0
2021-01-06 21:30:00-05:00,100000.0,100000.0,0.0
2021-01-07 09:30:00-05:00,100000.0,100000.0,0.0
2021-01-07 21:30:00-05:00,100000.0,100000.0,0.0
2021-01-08 09:30:00-05:00,100000.0,100000.0,0.0
2021-01-08 21:30:00-05:00,100000.0,100000.0,0.0
2021-01-11 09:30:00-05:00,100000.0,100000.0,0.0
2021-01-11 21:30:00-05:00,100000.0,100000.0,0.0
2021-01-12 09:30:00-05:00,100000.0,100000.0,0.0
2021-01-12 21:30:00-05:00,100000.0,100000.0,0.0
2021-01-13 09:30:00-05:00,100000.0,100000.0,0.0
2021-01-13 21:30:00-05:00,100000.0,100000.0,0.0
2021-01-14 09:30:00-05:00,100000.0,100000.0,0.0
2021-01-14 21:30:00-05:00,100000.0,100000.0,0.0
2021-01-15 09:30:00-05:00,100000.0,100000.0,0.0
2021-01-15 21:30:00-05:00,100000.0,100000.0,0.0
2021-01-19 09:30:00-05:00,100000.0,100000.0,0.0
2021-01-19 21:30:00-05:00,100000.0,100000.0,0.0
2021-01-20 09:30:00-05:00,100000.0,100000.0,0.0
2021-01-20 21:30:00-05:00,100000.0,100000.0,0.0
2021-01-21 09:30:00-05:00,100000.0,100000.0,0.0
2021-01-21 21:30:00-05:00,100000.0,100000.0,0.0
2021-01-22 09:30:00-05:00,100000.0,100000.0,0.0
2021-01-22 21:30:00-05:00,100000.0,100000.0,0.0
2021-01-25 09:30:00-05:00,100000.0,100000.0,0.0
2021-01-25 21:30:00-05:00,100000.0,100000.0,0.0
2021-01-26 09:30:00-05:00,100000.0,100000.0,0.0
2021-01-26 21:30:00-05:00,100000.0,100000.0,0.0
2021-01-27 09:30:00-05:00,100000.0,100000.0,0.0
2021-01-27 21:30:00-05:00,100000.0,100000.0,0.0
2021-01-28 09:30:00-05:00,100000.0,100000.0,0.0
2021-01-28 21:30:00-05:00,100000.0,100000.0,0.0
2021-01-29 09:30:00-05:00,100000.0,100000.0,0.0
2021-01-29 21:30:00-05:00,100000.0,100000.0,0.0
2021-02-01 09:30:00-05:00,100000.0,100000.0,0.0
